ID,Наименование услуги,Код услуги,"Стоимость, руб.  за час "
336,Прокат коньков,8HFJHG443,1200
353,Заточка коньков,87FDJKHJ,500
31,Прокат опорного оборудования для катка,JUR8R,500
34,Обучение катанию на коньках,JKFBJ09,1000
98,Прокат шлема,63748HF,300
45,Прокат набора защитного оборудования,JFH7382,800
89,Прокат детских коньков,OIJNB12,800
99,Прокат вартушки,BSFBHV63,100
92,Прокат санок,HJBUJE21J,300
44,Прокат салазок,DHBGFY563,450
57,Прокат ледянки,JHVSJF6,300
88,Катание на Большом катке,DJHGBS982,400
123,Катание на горках,638VVNQ3,500
